Tempo	DP1	DP2	DP3	DP4	DP5
6,74	0,58452691	-5,912291	2,3505547	-4,3707867	-0,20585304
6,76	-2,25911741	-3,2218397	3,212265	-5,414414	0,13883112
6,78	-2,84891046	1,1345854	1,6994845	-4,1792955	0,09095833
6,8	-1,53240846	-1,4505459	-1,6037389	-2,3888528	-0,18670394
6,82	-0,521334803	-1,709059	-4,351638	-1,5845897	-0,37819514
6,84	1,13219183	-1,1633091	-4,782493	-1,2399056	-0,8664977
6,86	0,205374334	-2,3984275	-3,6814184	-0,34947145	-0,98139244
6,88	-0,226438344	-1,9196993	-2,3122563	-1,1824582	-0,7228793
6,9	0,07899012	-1,3260766	-1,2877784	-4,935686	-0,7994758
6,92	0,552930895	-1,8431029	-0,90479594	-4,504831	-0,39734426
6,94	0,247502387	-2,3792782	-1,9867213	-0,34947145	-0,37819514
6,96	-0,97421148	-2,9537518	-2,2452345	3,2792869	-0,5505372
6,98	-1,21644798	-2,9154537	0,7324539	2,101616	-0,47394073
7	-1,40602418	-2,9920502	2,1399143	-1,3356512	-0,23457673
7,02	-1,11112771	-2,6856642	1,6133134	-2,972901	0,5888355
7,04	-0,331758537	-2,5037475	1,6037389	-3,518651	1,2877784
7,06	-0,226438344	-2,0250196	-0,71330476	-3,4133308	2,1399143
7,08	-0,68984707	-1,8431029	-2,2643836	-2,7048132	1,9867213
7,1	-0,98474354	-2,0537431	1,9771467	-1,4792696	0,69415563
7,12	-0,74250715	-2,714388	3,059072	-0,69415563	5,088879
7,14	-0,81623124	-1,8143792	2,5994933	-0,59841	11,36979
7,16	-1,24804394	-1,2590547	7,02294	-0,19627848	8,047418
7,18	-0,63718699	-2,4845984	3,3175852	2,034594	-0,00478728
7,2	0,152714232	-1,8526775	-6,285699	1,2016073	-6,132506
7,22	0,100054163	-1,1250108	-8,392102	-1,9101248	-5,538883
7,24	0,34229052	-1,6420372	-1,5271424	-2,3505547	-1,1537346
7,26	0,489738777	-1,9867213	-0,3398969	-0,05266008	0,64628285
7,28	0,489738777	-1,79523	0,36862057	2,7431116	2,2739582
7,3	0,142182216	-1,4505459	1,2877784	3,3941817	4,993133
7,32	-0,121118188	-1,8335283	-0,6845811	3,9686553	5,7016506
7,34	0,331758537	-2,7814097	-1,4313968	4,0548263	1,4984187
7,36	0,79516723	-2,149489	-2,7431116	0,85692316	-4,7250457
7,38	0,63718699	-1,776081	-2,3505547	0,9526688	-8,1623125
7,4	0,510802787	-1,7186337	-0,7324539	-0,14840569	-2,5420458
7,42	1,026871626	-1,6516117	-1,4888442	-1,2399056	3,690993
7,44	0,74250715	-1,5367169	-1,79523	-4,150572	6,5825105
7,46	0,089522142	-1,4026731	-0,92394507	-2,494173	5,7782474
7,48	-0,194842307	-1,8239537	-0,42606795	0,15798025	4,73462
7,5	-0,47920675	-2,1111906	-0,5792609	0,359046	-4,466532
7,52	-0,289630462	-1,9196993	-0,91437054	-1,8048047	-9,119769
7,54	0,57399496	-1,6420372	-0,83777404	-2,7048132	2,3697038
7,56	0,88995544	-1,6707608	-0,59841	-1,2877784	3,5665238
7,58	0,679315043	-2,0824668	-2,254809	0,59841	0,4356425
7,6	0,774103187	-2,4463003	-1,7569319	0,8856468	-3,384607
